frequency_hz,z_real_ohm,z_imag_ohm,s11_real,s11_imag,s11_db
2.200000000000000000e+09,1.021658647540728282e+02,-8.148789022301349405e+01,4.892859177904934076e-01,-2.734976936758836685e-01,-5.027914725722308908e+00
2.201000000000000000e+09,1.012386870186540619e+02,-8.061944931640252321e+01,4.851034591726722800e-01,-2.744712771230269910e-01,-5.077148744883564824e+00
2.202000000000000000e+09,1.003444218438617668e+02,-7.973157476279841660e+01,4.808651002741360925e-01,-2.753108001070841970e-01,-5.128230329946763533e+00
2.203000000000000000e+09,9.948446548674793632e+01,-7.882673622544459135e+01,4.765814425425657919e-01,-2.760111321925795003e-01,-5.181103836777468885e+00
2.204000000000000000e+09,9.865996296918189046e+01,-7.790747121660179175e+01,4.722635869836921962e-01,-2.765681397051336643e-01,-5.235700673899136071e+00
2.205000000000000000e+09,9.787181284017394489e+01,-7.697635973841964585e+01,4.679230362576092261e-01,-2.769787357231411340e-01,-5.291939315468928484e+00
2.206000000000000000e+09,9.712067413614221323e+01,-7.603600118594462742e+01,4.635715916895558064e-01,-2.772409202850927845e-01,-5.349725401139742154e+00
2.207000000000000000e+09,9.640697504498282910e+01,-7.508899359551988084e+01,4.592212461808550250e-01,-2.773538102924594795e-01,-5.408951933447035287e+00
2.208000000000000000e+09,9.573092281068865361e+01,-7.413791523794633065e+01,4.548840740588073195e-01,-2.773176586878692840e-01,-5.469499584147994753e+00
2.209000000000000000e+09,9.509251445677361403e+01,-7.318530848443825221e+01,4.505721189471604271e-01,-2.771338625934612887e-01,-5.531237121454919858e+00
2.210000000000000000e+09,9.449154795573643639e+01,-7.223366581505703721e+01,4.462972807710641199e-01,-2.768049602037876422e-01,-5.594021970257924359e+00
2.211000000000000000e+09,9.392763352535530430e+01,-7.128541779365404807e+01,4.420712030314938867e-01,-2.763346163403997968e-01,-5.657700917140672026e+00
2.212000000000000000e+09,9.340020478836480322e+01,-7.034292279972628137e+01,4.379051614937932713e-01,-2.757275966901190367e-01,-5.722110971168645754e+00
2.213000000000000000e+09,9.290852958806286210e+01,-6.940845828499060133e+01,4.338099554329996610e-01,-2.749897308647992755e-01,-5.787080389989426976e+00
2.214000000000000000e+09,9.245172030711459854e+01,-6.848421330977051014e+01,4.297958025649248892e-01,-2.741278645360092359e-01,-5.852429878655847517e+00
2.215000000000000000e+09,9.202874358915956066e+01,-6.757228211024653319e+01,4.258722387665362930e-01,-2.731498010122012099e-01,-5.917973965712710616e+00
2.216000000000000000e+09,9.163842941200171310e+01,-6.667465845110105249e+01,4.220480236522115014e-01,-2.720642327375480951e-01,-5.983522557446736556e+00
2.217000000000000000e+09,9.127947950671823207e+01,-6.579323052802973848e+01,4.183310530242323466e-01,-2.708806632993941421e-01,-6.048882666796657759e+00
2.218000000000000000e+09,9.095047515863461740e+01,-6.492977620007556538e+01,4.147282791567501459e-01,-2.696093206341869664e-01,-6.113860308308086466e+00
2.219000000000000000e+09,9.064988446366423602e+01,-6.408595835200858915e+01,4.112456398029676330e-01,-2.682610622186323290e-01,-6.178262544800631417e+00
2.220000000000000000e+09,9.037606914689396831e+01,-6.326332021144424544e+01,4.078879967360256042e-01,-2.668472731226736450e-01,-6.241899665254192264e+00
2.221000000000000000e+09,9.012729107945622786e+01,-6.246328047359389046e+01,4.046590845458051811e-01,-2.653797578826770920e-01,-6.304587467038103910e+00
2.222000000000000000e+09,8.990171865450828648e+01,-6.168712811816271113e+01,4.015614703173374656e-01,-2.638706272261348018e-01,-6.366149609275685073e+00
2.223000000000000000e+09,8.969743320337515513e+01,-6.093601683766865307e+01,3.985965247126923017e-01,-2.623321807422758778e-01,-6.426419998181094329e+00
2.224000000000000000e+09,8.951243564824871157e+01,-6.021095903414349948e+01,3.957644048680828419e-01,-2.607767866456560113e-01,-6.485245159976226859e+00
2.225000000000000000e+09,8.934465359785630767e+01,-5.951281938152368411e+01,3.930640494025308684e-01,-2.592167598213200863e-01,-6.542486552856829896e+00
2.226000000000000000e+09,8.919194909663832505e+01,-5.884230799369256459e+01,3.904931857148882801e-01,-2.576642393700420697e-01,-6.598022766775262227e+00
2.227000000000000000e+09,8.905212723554616616e+01,-5.819997328262844150e+01,3.880483496235496155e-01,-2.561310668900383392e-01,-6.651751558841409562e+00
2.228000000000000000e+09,8.892294582285333604e+01,-5.758619463671917771e+01,3.857249172789201097e-01,-2.546286667370954437e-01,-6.703591673140848251e+00
2.229000000000000000e+09,8.880212629561634685e+01,-5.700117509510713631e+01,3.835171491539914879e-01,-2.531679294981661332e-01,-6.753484396849664506e+00
2.230000000000000000e+09,8.868736602596129615e+01,-5.644493423865509385e+01,3.814182457943603444e-01,-2.517590998940252289e-01,-6.801394809690968657e+00
2.231000000000000000e+09,8.857635214066729645e+01,-5.591730156024716791e+01,3.794204148870281568e-01,-2.504116702947296602e-01,-6.847312690891236286e+00
2.232000000000000000e+09,8.846677692733483411e+01,-5.541791061479890601e+01,3.775149490886020587e-01,-2.491342809875598530e-01,-6.891253056585568082e+00
2.233000000000000000e+09,8.835635484586231314e+01,-5.494619428039202802e+01,3.756923139391879496e-01,-2.479346282811182023e-01,-6.933256310700210534e+00
2.234000000000000000e+09,8.824284110063514674e+01,-5.450138148411927119e+01,3.739422450796994757e-01,-2.468193814619581983e-01,-6.973388003215115205e+00
2.235000000000000000e+09,8.812405165795742334e+01,-5.408249575703515433e+01,3.722538538884123116e-01,-2.457941095418136046e-01,-7.011738200834967571e+00
2.236000000000000000e+09,8.799788451669417100e+01,-5.368835597983312624e+01,3.706157405586845144e-01,-2.448632186452192605e-01,-7.048420485896653709e+00
2.237000000000000000e+09,8.786234196043396594e+01,-5.331757966236118307e+01,3.690161135546249360e-01,-2.440299007895341543e-01,-7.083570609274993934e+00
2.238000000000000000e+09,8.771555343999334298e+01,-5.296858906433510583e+01,3.674429143062342695e-01,-2.432960947032454246e-01,-7.117344831629583979e+00
2.239000000000000000e+09,8.755579865964560327e+01,-5.263962041069801501e+01,3.658839459408633754e-01,-2.426624592147790527e-01,-7.149917994185680747e+00
2.240000000000000000e+09,8.738153037340319429e+01,-5.232873638308073083e+01,3.643270047945673662e-01,-2.421283596240115243e-01,-7.181481365100200520e+00
2.241000000000000000e+09,8.719139634355134660e+01,-5.203384197989322502e+01,3.627600134056241932e-01,-2.416918673433970655e-01,-7.212240310207969074e+00
2.242000000000000000e+09,8.698425987688960959e+01,-5.175270373409999536e+01,3.611711536637051689e-01,-2.413497729662651137e-01,-7.242411837583980549e+00
2.243000000000000000e+09,8.675921833879267808e+01,-5.148297216335281945e+01,3.595489987722890746e-01,-2.410976127877214603e-01,-7.272222064027250354e+00
2.244000000000000000e+09,8.651561905446818912e+01,-5.122220720666870619e+01,3.578826426792018345e-01,-2.409297086699027923e-01,-7.301903648505327915e+00
2.245000000000000000e+09,8.625307204265099870e+01,-5.096790628104098175e+01,3.561618256406804406e-01,-2.408392210094925101e-01,-7.331693233104060958e+00
2.246000000000000000e+09,8.597145908999952724e+01,-5.071753447670633363e+01,3.543770546082966044e-01,-2.408182144326543594e-01,-7.361828926453846123e+00
2.247000000000000000e+09,8.567093876340663883e+01,-5.046855630789755764e+01,3.525197171650497618e-01,-2.408577357122475004e-01,-7.392547858322674692e+00
2.248000000000000000e+09,8.535194706938393949e+01,-5.021846835322926950e+01,3.505821877869557124e-01,-2.409479032756449424e-01,-7.424083827429869054e+00
2.249000000000000000e+09,8.501519359989212887e+01,-4.996483206195883042e+01,3.485579252689000596e-01,-2.410780075499550645e-01,-7.456665057873395064e+00
2.250000000000000000e+09,8.466165314633730077e+01,-4.970530597359739033e+01,3.464415602280674911e-01,-2.412366212762062645e-01,-7.490512073155816353e+00
2.251000000000000000e+09,8.429255291066995426e+01,-4.943767660130679786e+01,3.442289716841074876e-01,-2.414117188162535066e-01,-7.525835690872071382e+00
2.252000000000000000e+09,8.390935558680970985e+01,-4.915988726488015459e+01,3.419173518117029631e-01,-2.415908033769756380e-01,-7.562835135858359870e+00
2.253000000000000000e+09,8.351373871920020520e+01,-4.887006422539484163e+01,3.395052580674903786e-01,-2.417610409866792487e-01,-7.601696265120350127e+00
2.254000000000000000e+09,8.310757086097984825e+01,-4.856653956742094636e+01,3.369926520082918153e-01,-2.419093999796631533e-01,-7.642589894237135084e+00
2.255000000000000000e+09,8.269288514608984997e+01,-4.824787039072646166e+01,3.343809242404302551e-01,-2.420227946772412486e-01,-7.685670212216534125e+00
2.256000000000000000e+09,8.227185095322181496e+01,-4.791285400523525340e+01,3.316729050692573399e-01,-2.420882318981391890e-01,-7.731073269971099116e+00
2.257000000000000000e+09,8.184674437238081168e+01,-4.756053896318733365e+01,3.288728605527597715e-01,-2.420929588885574468e-01,-7.778915526691454474e+00
2.258000000000000000e+09,8.141991818654540225e+01,-4.719023190347137131e+01,3.259864738019654928e-01,-2.420246112329269839e-01,-7.829292438404388044e+00
2.259000000000000000e+09,8.099377205292080362e+01,-4.680150031769137797e+01,3.230208115124413304e-01,-2.418713592908134369e-01,-7.882277073912057119e+00
2.260000000000000000e+09,8.057072351381465580e+01,-4.639417146933549674e+01,3.199842758542609245e-01,-2.416220517038326354e-01,-7.937918745113870855e+00
2.261000000000000000e+09,8.015318039071733835e+01,-4.596832780125108542e+01,3.168865419907746506e-01,-2.412663545289273070e-01,-7.996241641432980884e+00
2.262000000000000000e+09,7.974351502222646104e+01,-4.552429924889068502e+01,3.137384816382983166e-01,-2.407948845808915994e-01,-8.057243461727820133e+00
2.263000000000000000e+09,7.934404070282442945e+01,-4.506265293537813932e+01,3.105520732176761944e-01,-2.401993356074999253e-01,-8.120894041715857270e+00
2.264000000000000000e+09,7.895699057109615637e+01,-4.458418075888599219e+01,3.073402992835689296e-01,-2.394725959746374366e-01,-8.187133980620561857e+00
2.265000000000000000e+09,7.858449908813491902e+01,-4.408988539397686424e+01,3.041170320466184407e-01,-2.386088566060772520e-01,-8.255873277535568988e+00
2.266000000000000000e+09,7.822858614436229630e+01,-4.358096521849276428e+01,3.008969079262975854e-01,-2.376037080023930270e-01,-8.326989995928105515e+00
2.267000000000000000e+09,7.789114373953985648e+01,-4.305879864913742239e+01,2.976951921869019357e-01,-2.364542252552862267e-01,-8.400328983801598426e+00
2.268000000000000000e+09,7.757392509913132983e+01,-4.252492832545794954e+01,2.945276348146355638e-01,-2.351590400764677624e-01,-8.475700687281811696e+00
2.269000000000000000e+09,7.727853602211482098e+01,-4.198104552711889426e+01,2.914103188890930785e-01,-2.337183989733744582e-01,-8.552880106677180905e+00
