frequency_hz,z_real_ohm,z_imag_ohm,s11_real,s11_imag,s11_db
2.200000000000000000e+09,2.100563972727254125e+01,3.740815832145722197e+01,-1.023715675309282563e-01,5.807664051145918771e-01,-4.587084401876943218e+00
2.201000000000000000e+09,2.090404558013146286e+01,3.803780109803255982e+01,-9.516867674587224657e-02,5.875237153820210834e-01,-4.507009379902514823e+00
2.202000000000000000e+09,2.081597933886263618e+01,3.865893179810714742e+01,-8.790066603329059480e-02,5.938924808205835459e-01,-4.431732774461877078e+00
2.203000000000000000e+09,2.074069407965280831e+01,3.927104777973751482e+01,-8.059444881334761057e-02,5.998821015536801582e-01,-4.360990611785914517e+00
2.204000000000000000e+09,2.067740733978900636e+01,3.987369663998335056e+01,-7.327531216363655786e-02,6.055040191648892733e-01,-4.294519366437993035e+00
2.205000000000000000e+09,2.062530383135727874e+01,4.046648143563997024e+01,-6.596675321788025848e-02,6.107715151654842245e-01,-4.232056344612009191e+00
2.206000000000000000e+09,2.058353905256012695e+01,4.104906584517681267e+01,-5.869033849105267930e-02,6.156994959123613942e-01,-4.173340169101347641e+00
2.207000000000000000e+09,2.055124381822110280e+01,4.162117912165677325e+01,-5.146558726693770819e-02,6.203042665080925611e-01,-4.118111367395393962e+00
2.208000000000000000e+09,2.052752970587824422e+01,4.218262067837675744e+01,-4.430987990768028850e-02,6.246032963090621948e-01,-4.066113062332885164e+00
2.209000000000000000e+09,2.051149538629582381e+01,4.273326414543388552e+01,-3.723839166064264045e-02,6.286149787320195470e-01,-4.017091762475888395e+00
2.210000000000000000e+09,2.050223377814311476e+01,4.327306073704107092e+01,-3.026405224954846485e-02,6.323583880828204107e-01,-3.970798246889812866e+00
2.211000000000000000e+09,2.049883993706369267e+01,4.380204177672046484e+01,-2.339753124757516789e-02,6.358530361338868842e-01,-3.926988536357054915e+00
2.212000000000000000e+09,2.050041956064719884e+01,4.432032024074351995e+01,-1.664724894295373583e-02,6.391186311488805671e-01,-3.885424940276299033e+00
