frequency_hz,z_real_ohm,z_imag_ohm,s11_real,s11_imag,s11_db
2.200000000000000000e+09,5.021057321044725796e+01,3.395216623276998025e+00,3.245491900760921235e-03,3.377086236317437123e-02,-2.938923030344276555e+01
2.201000000000000000e+09,4.946054974853905151e+01,4.009193168464487478e+00,-3.792752192429713152e-03,4.046226423259004917e-02,-2.782100438542680365e+01
2.202000000000000000e+09,4.874470794946981300e+01,4.649655472851932814e+00,-1.047203438022535800e-02,4.758074556485700213e-02,-2.624594140388035513e+01
2.203000000000000000e+09,4.806361788692314008e+01,5.313331439591398642e+00,-1.676123329836366402e-02,5.509065995985789471e-02,-2.479395987691472314e+01
2.204000000000000000e+09,4.741759691079783323e+01,5.997081786221580835e+00,-2.263311425186258219e-02,6.295386683663037330e-02,-2.349163561171660675e+01
2.205000000000000000e+09,4.680674024707854386e+01,6.697905621113282137e+00,-2.806453996992004304e-02,7.113016349437066566e-02,-2.233058099851835365e+01
2.206000000000000000e+09,4.623094833343044741e+01,7.412942281773410080e+00,-3.303663283933503531e-02,7.957773530051788502e-02,-2.129359985541155709e+01
2.207000000000000000e+09,4.568995079439632434e+01,8.139470313718627281e+00,-3.753488707884889558e-02,8.825361851184318485e-02,-2.036326948793288949e+01
2.208000000000000000e+09,4.518332708302776268e+01,8.874904375418116942e+00,-4.154922994331269881e-02,9.711417011063404325e-02,-1.952433083267649749e+01
2.209000000000000000e+09,4.471052390975604141e+01,9.616790760933279003e+00,-4.507403168200675020e-02,1.061155389864288229e-01,-1.876403918667251958e+01
2.210000000000000000e+09,4.427086964970209948e+01,1.036280214136442268e+01,-4.810806461112883403e-02,1.152141328142277238e-01,-1.807190594392948313e+01
2.211000000000000000e+09,4.386358597143180305e+01,1.111073204142177495e+01,-5.065441228838706705e-02,1.243670750724001628e-01,-1.743931081763808422e+01
2.212000000000000000e+09,4.348779696782635540e+01,1.185848948938861724e+01,-5.272033038952531753e-02,1.335326468061508454e-01,-1.685913558431921189e+01
2.213000000000000000e+09,4.314253609699271408e+01,1.260409420742552911e+01,-5.431706147459963718e-02,1.426707079726054206e-01,-1.632545785200412425e+01
2.214000000000000000e+09,4.282675126094280671e+01,1.334567264393519359e+01,-5.545960638841727908e-02,1.517430934985566360e-01,-1.583330634414928895e+01
2.215000000000000000e+09,4.253930836434474827e+01,1.408145508936057766e+01,-5.616645555757227709e-02,1.607139795368667246e-01,-1.537846864219310561e+01
2.216000000000000000e+09,4.227899370643456223e+01,1.480977405997274765e+01,-5.645928391951659381e-02,1.695502158181603491e-01,-1.495734080081797934e+01
2.217000000000000000e+09,4.204451556695351400e+01,1.552906407938006339e+01,-5.636261364104535460e-02,1.782216204545140070e-01,-1.456680949925434376e+01
2.218000000000000000e+09,4.183450535183875019e+01,1.623786293327499308e+01,-5.590344914938633752e-02,1.867012340554490835e-01,-1.420415922666619579e+01
2.219000000000000000e+09,4.164751866589352147e+01,1.693481441812517829e+01,-5.511088930414936166e-02,1.949655305567850050e-01,-1.386699870481989016e+01
2.220000000000000000e+09,4.148203667684046536e+01,1.761867254822410089e+01,-5.401572177926945023e-02,2.029945827322216512e-01,-1.355320214450097360e+01
2.221000000000000000e+09,4.133646812667448955e+01,1.828830712738947284e+01,-5.265000489787497601e-02,2.107721809488068976e-01,-1.326086201264481801e+01
2.222000000000000000e+09,4.120915233049623083e+01,1.894271053173360286e+01,-5.104664226799330434e-02,2.182859043321715431e-01,-1.298825080619346473e+01
2.223000000000000000e+09,4.109836347832080605e+01,1.958100548918174511e+01,-4.923895560218499029e-02,2.255271441182250536e-01,-1.273378994394286856e+01
