frequency_hz,z_real_ohm,z_imag_ohm,s11_real,s11_imag,s11_db
2.200000000000000000e+09,4.228717193570775379e+01,-1.651248451506588566e+01,-4.996060477854704501e-02,-1.878642271096267469e-01,-1.422634257408575564e+01
2.201000000000000000e+09,4.172463239937938084e+01,-1.606584947918746664e+01,-5.776882812938722439e-02,-1.852714405276617293e-01,-1.424088039650716908e+01
2.202000000000000000e+09,4.117728782864463000e+01,-1.559756579917208086e+01,-6.558073263812504161e-02,-1.822873435639922601e-01,-1.425627127659539894e+01
2.203000000000000000e+09,4.064615937382910715e+01,-1.510913446488651246e+01,-7.336919978524873709e-02,-1.789119327509560153e-01,-1.427215275164538788e+01
2.204000000000000000e+09,4.013211398899688476e+01,-1.460205954763076797e+01,-8.110733051091416346e-02,-1.751472690347379568e-01,-1.428815841288715305e+01
2.205000000000000000e+09,3.963587420570473085e+01,-1.407783495221837633e+01,-8.876861145079836812e-02,-1.709974376775233729e-01,-1.430392148617823977e+01
2.206000000000000000e+09,3.915802846862476372e+01,-1.353793322214594141e+01,-9.632707588019458200e-02,-1.664684941762657744e-01,-1.431907859896493207e+01
2.207000000000000000e+09,3.869904174018273579e+01,-1.298379627432836791e+01,-1.037574581490472853e-01,-1.615683968137559545e-01,-1.433327369241652249e+01
2.208000000000000000e+09,3.825926612789826464e+01,-1.241682791457225576e+01,-1.110353404578244829e-01,-1.563069265665728014e-01,-1.434616202254614770e+01
2.209000000000000000e+09,3.783895133274056377e+01,-1.183838796916463210e+01,-1.181372909015665634e-01,-1.506955951960412821e-01,-1.435741418001758873e+01
2.210000000000000000e+09,3.743825475836773364e+01,-1.124978786016469634e+01,-1.250409917957926442e-01,-1.447475424420081869e-01,-1.436672004613449971e+01
2.211000000000000000e+09,3.705725115880266429e+01,-1.065228745064922400e+01,-1.317253573927701094e-01,-1.384774233239449703e-01,-1.437379259318565694e+01
2.212000000000000000e+09,3.669594173551256233e+01,-1.004709298987348909e+01,-1.381706401989018507e-01,-1.319012866289456243e-01,-1.437837143178242627e+01
2.213000000000000000e+09,3.635426262387264273e+01,-9.435355995804201257e+00,-1.443585252126124707e-01,-1.250364457310474686e-01,-1.438022600682422336e+01
2.214000000000000000e+09,3.603209273367654930e+01,-8.818172922634069266e+00,-1.502722115163173111e-01,-1.179013429401455371e-01,-1.437915834776753954e+01
2.215000000000000000e+09,3.572926092895365713e+01,-8.196585472802988548e+00,-1.558964807744532832e-01,-1.105154086214705927e-01,-1.437500528812172007e+01
2.216000000000000000e+09,3.544555254917833764e+01,-7.571581425939136523e+00,-1.612177523113580424e-01,-1.028989163574204058e-01,-1.436764008333501863e+01
2.217000000000000000e+09,3.518071528741179321e+01,-6.944095870434462192e+00,-1.662241245665282141e-01,-9.507283544260480834e-02,-1.435697337484736735e+01
2.218000000000000000e+09,3.493446445140065038e+01,-6.315012736603971000e+00,-1.709054028495223254e-01,-8.705868200987049166e-02,-1.434295347008170651e+01
2.219000000000000000e+09,3.470648764157559896e+01,-5.685166543225108171e+00,-1.752531134412893821e-01,-7.887837007986324422e-02,-1.432556593222830621e+01
2.220000000000000000e+09,3.449644888564591838e+01,-5.055344281502152093e+00,-1.792605042116778569e-01,-7.055406380966372515e-02,-1.430483249836719395e+01
2.221000000000000000e+09,3.430399227341160184e+01,-4.426287371972144946e+00,-1.829225320434190172e-01,-6.210803218694605637e-02,-1.428080936823755032e+01
2.222000000000000000e+09,3.412874513785206432e+01,-3.798693640537414762e+00,-1.862358374695212981e-01,-5.356250737591941591e-02,-1.425358492735312055e+01
2.223000000000000000e+09,3.397032082975398026e+01,-3.173219269593770875e+00,-1.891987070430431184e-01,-4.493954786972601673e-02,-1.422327698595383261e+01
2.224000000000000000e+09,3.382832113336752400e+01,-2.550480689185353533e+00,-1.918110240641993647e-01,-3.626090754218891377e-02,-1.419002962857468120e+01
2.225000000000000000e+09,3.370233837000875354e+01,-1.931056381258993815e+00,-1.940742083889924752e-01,-2.754791162002401955e-02,-1.415400977728421061e+01
2.226000000000000000e+09,3.359195723531981059e+01,-1.315488577471445319e+00,-1.959911461350106465e-01,-1.882134051567370403e-02,-1.411540357478159713e+01
2.227000000000000000e+09,3.349675641418115646e+01,-7.042848376986653447e-01,-1.975661101828133370e-01,-1.010132237185056014e-02,-1.407441269180498722e+01
2.228000000000000000e+09,3.341631001513297150e+01,-9.791950243309743840e-02,-1.988046724447587177e-01,-1.407235072121602046e-03,-1.403125065726834464e+01
2.229000000000000000e+09,3.335018886367474522e+01,5.031649822689258089e-01,-1.997136089364634215e-01,7.242381631019744262e-03,-1.398613930001034333e+01
2.230000000000000000e+09,3.329796169102035464e+01,1.098556863709290399e+00,-2.003007987388206179e-01,1.582990332778361556e-02,-1.393930537893908550e+01
2.231000000000000000e+09,3.325919625182456230e+01,1.687873997315806118e+00,-2.005751179800917550e-01,2.433868707228296902e-02,-1.389097746465791161e+01
2.232000000000000000e+09,3.323346040108391009e+01,2.270762865264638553e+00,-2.005463299977295055e-01,3.275312609918942103e-02,-1.384138312128030535e+01
2.233000000000000000e+09,3.322032315686401915e+01,2.846897683456286909e+00,-2.002249728580310917e-01,4.105869293988778645e-02,-1.379074642289335273e+01
2.234000000000000000e+09,3.321935577172907728e+01,3.415979578263731664e+00,-1.996222454182938477e-01,4.924197086096514242e-02,-1.373928582567191725e+01
2.235000000000000000e+09,3.323013283175502863e+01,3.977735811867011417e+00,-1.987498931108722944e-01,5.729067366668435385e-02,-1.368721240446288689e+01
2.236000000000000000e+09,3.325223339781395993e+01,4.531919032829747174e+00,-1.976200946114988477e-01,6.519365402408207333e-02,-1.363472845207251893e+01
2.237000000000000000e+09,3.328524219943815154e+01,5.078306526933511478e+00,-1.962453505256861741e-01,7.294090058405859611e-02,-1.358202643065386539e+01
2.238000000000000000e+09,3.332875088704771116e+01,5.616699442146198429e+00,-1.946383751872169388e-01,8.052352428246283000e-02,-1.352928825754325359e+01
2.239000000000000000e+09,3.338235934368181290e+01,6.146921961026577286e+00,-1.928119926122493777e-01,8.793373431114943906e-02,-1.347668490254856799e+01
2.240000000000000000e+09,3.344567705267328250e+01,6.668820393875225960e+00,-1.907790375917939596e-01,9.516480434904528440e-02,-1.342437626990726685e+01
2.241000000000000000e+09,3.351832451300163740e+01,7.182262166548215809e+00,-1.885522628350598529e-01,1.022110297363138520e-01,-1.337251133571030692e+01
2.242000000000000000e+09,3.359993468942740691e+01,7.687134678096309237e+00,-1.861442529970412929e-01,1.090676763601745591e-01,-1.332122851031368072e+01
2.243000000000000000e+09,3.369015448002379998e+01,8.183344005253323061e+00,-1.835673463367055447e-01,1.157309220975321490e-01,-1.327065619491629889e+01
2.244000000000000000e+09,3.378864617947429849e+01,8.670813433303280249e+00,-1.808335646579578293e-01,1.221977917270587466e-01,-1.322091350186526881e+01
2.245000000000000000e+09,3.389508891257552392e+01,9.149481795951768248e+00,-1.779545520854061147e-01,1.284660862806286941e-01,-1.317211110917454064e+01
2.246000000000000000e+09,3.400918000886684212e+01,9.619301610498293797e+00,-1.749415231217056610e-01,1.345343078507973134e-01,-1.312435222105522925e+01
2.247000000000000000e+09,3.413063628628427182e+01,1.008023699879745294e+01,-1.718052203240634512e-01,1.404015809068632492e-01,-1.307773360782722349e+01
2.248000000000000000e+09,3.425919520927575945e+01,1.053226138912069842e+01,-1.685558818255414593e-01,1.460675711963856094e-01,-1.303234670031715225e+01
2.249000000000000000e+09,3.439461588498897271e+01,1.097535499903821865e+01,-1.652032188130819756e-01,1.515324033220730449e-01,-1.298827871567075398e+01
2.250000000000000000e+09,3.453667985998666978e+01,1.140950210469785198e+01,-1.617564029601146480e-01,1.567965780850779645e-01,-1.294561379337290674e+01
2.251000000000000000e+09,3.468519167949875737e+01,1.183468810732958687e+01,-1.582240636980891679e-01,1.618608906755190369e-01,-1.290443412213819840e+01
2.252000000000000000e+09,3.483997917148580825e+01,1.225089641330810508e+01,-1.546142950997016485e-01,1.667263507691343627e-01,-1.286482104019568595e+01
2.253000000000000000e+09,3.500089341875699489e+01,1.265810514958671007e+01,-1.509346720379965701e-01,1.713941055559213278e-01,-1.282685609332844479e+01
2.254000000000000000e+09,3.516780838403381182e+01,1.305628374168034611e+01,-1.471922751809512375e-01,1.758653666827739714e-01,-1.279062203683907661e+01
2.255000000000000000e+09,3.534062015512081700e+01,1.344538938652318549e+01,-1.433937242819122437e-01,1.801413420377490082e-01,-1.275620376939253120e+01
2.256000000000000000e+09,3.551924578019482226e+01,1.382536345742335726e+01,-1.395452191330224800e-01,1.842231732395815114e-01,-1.272368918843272212e+01
2.257000000000000000e+09,3.570362166657110237e+01,1.419612788290975480e+01,-1.356525874628679573e-01,1.881118796228024026e-01,-1.269316995857127850e+01
2.258000000000000000e+09,3.589370152009805537e+01,1.455758154551661399e+01,-1.317213389815168889e-01,1.918083094273182743e-01,-1.266474218599395840e+01
2.259000000000000000e+09,3.608945380649351620e+01,1.490959675045624877e+01,-1.277567247070255374e-01,1.953130988122122047e-01,-1.263850699350561868e+01
2.260000000000000000e+09,3.629085872042151095e+01,1.525201581772542170e+01,-1.237638006478347513e-01,1.986266392179471540e-01,-1.261457099231419754e+01
2.261000000000000000e+09,3.649790465288550223e+01,1.558464785450665602e+01,-1.197474948659536242e-01,2.017490534999884233e-01,-1.259304664801298834e+01
2.262000000000000000e+09,3.671058415256185725e+01,1.590726576780235746e+01,-1.157126769070302846e-01,2.046801811511262392e-01,-1.257405253942555845e+01
2.263000000000000000e+09,3.692888938204833238e+01,1.621960358015100923e+01,-1.116642285555267816e-01,2.074195728207308687e-01,-1.255771350999458491e+01
2.264000000000000000e+09,3.715280707569242225e+01,1.652135411404630361e+01,-1.076071148568033126e-01,2.099664942277019997e-01,-1.254416071218990680e+01
2.265000000000000000e+09,3.738231301178937116e+01,1.681216711337716063e+01,-1.035464543428897682e-01,2.123199394514126148e-01,-1.253353154594075392e+01
2.266000000000000000e+09,3.761736601861284157e+01,1.709164787282107056e+01,-9.948758740531631062e-02,2.144786534723856497e-01,-1.252596949232994028e+01
2.267000000000000000e+09,3.785790154110527084e+01,1.735935644864808225e+01,-9.543614177651986441e-02,2.164411637231459518e-01,-1.252162384367945336e+01
2.268000000000000000e+09,3.810382480329931099e+01,1.761480752676587969e+01,-9.139809411067838230e-02,2.182058203007639918e-01,-1.252064933067426722e+01
2.269000000000000000e+09,3.835500361083285270e+01,1.785747102591247071e+01,-8.737982669538714442e-02,2.197708443870614037e-01,-1.252320564627522437e+01
2.270000000000000000e+09,3.861126084847141726e+01,1.808677351551994406e+01,-8.338817837661861854e-02,2.211343843216247995e-01,-1.252945686482102694e+01
2.271000000000000000e+09,3.887236673952442345e+01,1.830210052862686609e+01,-7.943048884072553828e-02,2.222945786774207788e-01,-1.253957075287841505e+01
2.272000000000000000e+09,3.913803094759591517e+01,1.850279984998450544e+01,-7.551463546795544879e-02,2.232496256002313995e-01,-1.255371796601741607e+01
2.273000000000000000e+09,3.940789461632497392e+01,1.868818585771593277e+01,-7.164906205157571539e-02,2.239978575919854276e-01,-1.257207112272212335e+01
2.274000000000000000e+09,3.968152245966050629e+01,1.885754499304016463e+01,-6.784279876431076328e-02,2.245378208454217039e-01,-1.259480374303483963e+01
2.275000000000000000e+09,3.995839503367116663e+01,1.901014242605219096e+01,-6.410547284852709249e-02,2.248683581740262560e-01,-1.262208903521120007e+01
2.276000000000000000e+09,4.023790134066118895e+01,1.914522997569389773e+01,-6.044730960758161464e-02,2.249886945275699768e-01,-1.265409850855901297e+01
2.277000000000000000e+09,4.051933193702443958e+01,1.926205532816431898e+01,-5.687912338182426336e-02,2.248985240404293706e-01,-1.269100038466000946e+01
2.278000000000000000e+09,4.080187273717751140e+01,1.935987257939958539e+01,-5.341229830302431092e-02,2.245980975276627989e-01,-1.273295777223749425e+01
2.279000000000000000e+09,4.108459972621459855e+01,1.943795410326065465e+01,-5.005875873413138943e-02,2.240883093229042167e-01,-1.278012656293880056e+01
2.280000000000000000e+09,4.136647481248331815e+01,1.949560371716179574e+01,-4.683092941639889484e-02,2.233707823428236483e-01,-1.283265299615210608e+01
2.281000000000000000e+09,4.164634306673495701e+01,1.953217108071081043e+01,-4.374168546158747894e-02,2.224479502652945972e-01,-1.289067083060000840e+01
2.282000000000000000e+09,4.192293160523345819e+01,1.954706722042952904e+01,-4.080429244217304713e-02,2.213231357225389218e-01,-1.295429804881050195e+01
2.283000000000000000e+09,4.219485037839309172e+01,1.953978102506901138e+01,-3.803233694605483162e-02,2.200006234363399982e-01,-1.302363300769642684e+01
2.284000000000000000e+09,4.246059512222389287e+01,1.950989650216116544e+01,-3.543964807288938618e-02,2.184857272596187339e-01,-1.309874993454957703e+01
2.285000000000000000e+09,4.271855271509389951e+01,1.945711052854179357e+01,-3.304021045592504119e-02,2.167848501370845948e-01,-1.317969365313755858e+01
2.286000000000000000e+09,4.296700915521603292e+01,1.938125076751823173e+01,-3.084806949477040747e-02,2.149055360567039274e-01,-1.326647340997228852e+01
2.287000000000000000e+09,4.320416033322394611e+01,1.928229336566395347e+01,-2.887722958000865994e-02,2.128565131329376303e-01,-1.335905565734270617e+01
2.288000000000000000e+09,4.342812571809997735e+01,1.916037998606163129e+01,-2.714154617890178131e-02,2.106477270414288117e-01,-1.345735563919530087e+01
2.289000000000000000e+09,4.363696500314675575e+01,1.901583368589115963e+01,-2.565461273162991662e-02,2.082903641122535454e-01,-1.356122762117890090e+01
2.290000000000000000e+09,4.382869767212153533e+01,1.884917310870279294e+01,-2.442964337888982318e-02,2.057968634842585465e-01,-1.367045361120586833e+01
2.291000000000000000e+09,4.400132534569261367e+01,1.866112443984289371e+01,-2.347935260327379745e-02,2.031809178253752846e-01,-1.378473043750049420e+01
2.292000000000000000e+09,4.415285665785027192e+01,1.845263057152670427e+01,-2.281583291815716952e-02,2.004574622322252142e-01,-1.390365509523674170e+01
2.293000000000000000e+09,4.428133429495934337e+01,1.822485694570939074e+01,-2.245043177818022151e-02,1.976426510356714683e-01,-1.402670835101622338e+01
2.294000000000000000e+09,4.438486371215402926e+01,1.797919359105593529e+01,-2.239362891438896261e-02,1.947538223562318149e-01,-1.415323671987735921e+01
2.295000000000000000e+09,4.446164292919641525e+01,1.771725294649126070e+01,-2.265491531434126599e-02,1.918094503731803957e-01,-1.428243311804888904e+01
2.296000000000000000e+09,4.450999270790641305e+01,1.744086316789987023e+01,-2.324267507277994610e-02,1.888290853926519741e-01,-1.441331676336377932e+01
2.297000000000000000e+09,4.452838633324887496e+01,1.715205674443240724e+01,-2.416407133165116711e-02,1.858332819219051524e-01,-1.454471325978587970e+01
2.298000000000000000e+09,4.451547816720842832e+01,1.685305440232968621e+01,-2.542493750939879560e-02,1.828435150777996676e-01,-1.467523627191589597e+01
2.299000000000000000e+09,4.447013012479501981e+01,1.654624444090970314e+01,-2.702967498861719164e-02,1.798820857765445758e-01,-1.480327276366996969e+01
2.300000000000000000e+09,4.439143523936289881e+01,1.623415781922289725e+01,-2.898115838861868576e-02,1.769720152673501801e-01,-1.492697440961236843e+01
2.301000000000000000e+09,4.427873754212473045e+01,1.591943948341979542e+01,-3.128064949559805630e-02,1.741369296839763159e-01,-1.504425841285265975e+01
2.302000000000000000e+09,4.413164757791017223e+01,1.560481658392454740e+01,-3.392772085828642953e-02,1.714009353939632829e-01,-1.515282144897737382e+01
2.303000000000000000e+09,4.395005301259986652e+01,1.529306436804903946e+01,-3.692018998196635454e-02,1.687884860245596197e-01,-1.525017060704254490e+01
2.304000000000000000e+09,4.373412395125338747e+01,1.498697063870913126e+01,-4.025406496900547221e-02,1.663242421361514900e-01,-1.533367477086635589e+01
2.305000000000000000e+09,4.348431277129963490e+01,1.468929973619642482e+01,-4.392350236057985385e-02,1.640329245971878513e-01,-1.540063862449567900e+01
2.306000000000000000e+09,4.320134847203063089e+01,1.440275702286179005e+01,-4.792077783272861297e-02,1.619391627886420937e-01,-1.544839920159669155e+01
2.307000000000000000e+09,4.288622573879993638e+01,1.412995482834616645e+01,-5.223627029139745609e-02,1.600673388299196920e-01,-1.547444165658682103e+01
2.308000000000000000e+09,4.254018910649940466e+01,1.387338074711675162e+01,-5.685845979654067378e-02,1.584414290713721529e-01,-1.547652706339228956e+01
2.309000000000000000e+09,4.216471277166641585e+01,1.363536907498203021e+01,-6.177393962585408377e-02,1.570848441405547358e-01,-1.545282126824023194e+01
2.310000000000000000e+09,4.176147673729502685e+01,1.341807603402131654e+01,-6.696744266540789747e-02,1.560202688596328824e-01,-1.540201114261238224e+01
2.311000000000000000e+09,4.133234007280687905e+01,1.322345927495610596e+01,-7.242188218838470359e-02,1.552695033696190885e-01,-1.532339402019794505e+01
2.312000000000000000e+09,4.087931213015625787e+01,1.305326197248460929e+01,-7.811840695568962600e-02,1.548533068031507642e-01,-1.521692829170478056e+01
2.313000000000000000e+09,4.040452257508867717e+01,1.290900165281222556e+01,-8.403647044432870084e-02,1.547912448412246678e-01,-1.508323796918831405e+01
2.314000000000000000e+09,3.991019107220218842e+01,1.279196372323658792e+01,-9.015391388263951922e-02,1.551015424706687074e-01,-1.492357056743109744e+01
2.315000000000000000e+09,3.939859740809200872e+01,1.270319951959762506e+01,-9.644706264659702599e-02,1.558009432283971873e-01,-1.473971434371847167e+01
2.316000000000000000e+09,3.887205275460359388e+01,1.264352855524633590e+01,-1.028908354499075556e-01,1.569045761757547341e-01,-1.453388619243330382e+01
2.317000000000000000e+09,3.833287267128131504e+01,1.261354454940573611e+01,-1.094588656435338120e-01,1.584258317920373693e-01,-1.430860421553252593e+01
2.318000000000000000e+09,3.778335233010795946e+01,1.261362473568788900e+01,-1.161236338285713543e-01,1.603762479109302197e-01,-1.406655891766073196e+01
2.319000000000000000e+09,3.722574432395214217e+01,1.264394190334134116e+01,-1.228566108814758973e-01,1.627654067478052635e-01,-1.381049462238470227e+01
2.320000000000000000e+09,3.666223929951892302e+01,1.270447860302856569e+01,-1.296284103929689346e-01,1.656008439801568144e-01,-1.354310905190427583e+01
2.321000000000000000e+09,3.609494954162070712e+01,1.279504295267794056e+01,-1.364089494329821239e-01,1.688879707487764559e-01,-1.326697509174735856e+01
2.322000000000000000e+09,3.552589553264099465e+01,1.291528550338260040e+01,-1.431676164741449153e-01,1.726300093443645933e-01,-1.298448536294221789e+01
2.323000000000000000e+09,3.495699542214361344e+01,1.306471666606383053e+01,-1.498734452365228231e-01,1.768279432340921220e-01,-1.269781776485135794e+01
2.324000000000000000e+09,3.439005726839019417e+01,1.324272425217814053e+01,-1.564952931573086736e-01,1.814804819662176327e-01,-1.240891871152084214e+01
2.325000000000000000e+09,3.382677385664516123e+01,1.344859074179701786e+01,-1.630020231411771214e-01,1.865840413691138566e-01,-1.211950021775325226e+01
2.326000000000000000e+09,3.326871985811662569e+01,1.368150995602929498e+01,-1.693626872109675885e-01,1.921327393353286506e-01,-1.183104705294648795e+01
2.327000000000000000e+09,3.271735106709641627e+01,1.394060287464425940e+01,-1.755467106540703759e-01,1.981184073524031031e-01,-1.154483061984778125e+01
2.328000000000000000e+09,3.217400544060933498e+01,1.422493240122291702e+01,-1.815240752481159237e-01,2.045306178116031715e-01,-1.126192682621597818e+01
2.329000000000000000e+09,3.163990566273653826e+01,1.453351693519563170e+01,-1.872655001499095584e-01,2.113567269943343874e-01,-1.098323585717971085e+01
2.330000000000000000e+09,3.111616296260688941e+01,1.486534266135257809e+01,-1.927426190445345744e-01,2.185819335052815726e-01,-1.070950234037745652e+01
2.331000000000000000e+09,3.060378192882532389e+01,1.521937451203061542e+01,-1.979281521765734742e-01,2.261893517921904628e-01,-1.044133488510257735e+01
2.332000000000000000e+09,3.010366608186769355e+01,1.559456579486287886e+01,-2.027960719226122865e-01,2.341601002659435549e-01,-1.017922436061480518e+01
2.333000000000000000e+09,2.961662398799424167e+01,1.598986650979559343e+01,-2.073217606131413093e-01,2.424734034124154392e-01,-9.923560564482977853e+00
2.334000000000000000e+09,2.914337572205155524e+01,1.640423040336538918e+01,-2.114821593720938031e-01,2.511067071703028120e-01,-9.674647134192545295e+00
2.335000000000000000e+09,2.868455951089537947e+01,1.683662082656378089e+01,-2.152559068133081122e-01,2.600358067382255722e-01,-9.432714691375270633e+00
2.336000000000000000e+09,2.824073841314571354e+01,1.728601547564381491e+01,-2.186234665142297307e-01,2.692349858703327325e-01,-9.197932294085983784e+00
2.337000000000000000e+09,2.781240691382955887e+01,1.775141010371316241e+01,-2.215672422777123229e-01,2.786771666239208356e-01,-8.970417322343440247e+00
2.338000000000000000e+09,2.739999733369675639e+01,1.823182129563043219e+01,-2.240716802918335526e-01,2.883340684355147343e-01,-8.750243946709403531e+00
2.339000000000000000e+09,2.700388597227086862e+01,1.872628840031574882e+01,-2.261233574044609063e-01,2.981763753245846305e-01,-8.537450337388426291e+00
