frequency_hz,z_real_ohm,z_imag_ohm,s11_real,s11_imag,s11_db
2.200000000000000000e+09,8.881990863144966397e+01,-5.739808883872159839e+01,3.848137126883120485e-01,-2.543620545466917515e-01,-6.720658312661750955e+00
2.201000000000000000e+09,8.854666232727480235e+01,-5.674626630383679071e+01,3.819107436649590848e-01,-2.531584446016914569e-01,-6.778944345825799189e+00
2.202000000000000000e+09,8.830106985912615869e+01,-5.609888381365762200e+01,3.790994471237344454e-01,-2.518550869571810624e-01,-6.837205644373289815e+00
2.203000000000000000e+09,8.808353573040973572e+01,-5.545800051294489208e+01,3.763911765844751289e-01,-2.504577990845782698e-01,-6.895203261508880743e+00
2.204000000000000000e+09,8.789431190257018045e+01,-5.482573289021911478e+01,3.737969371414574526e-01,-2.489735898865574615e-01,-6.952682673580401485e+00
2.205000000000000000e+09,8.773349531260875267e+01,-5.420424693482934941e+01,3.713272687863229393e-01,-2.474106381062720073e-01,-7.009375428849317302e+00
2.206000000000000000e+09,8.760102519194644799e+01,-5.359575080458881757e+01,3.689921312390960773e-01,-2.457782595926725488e-01,-7.065001154510236248e+00
2.207000000000000000e+09,8.749668001283784236e+01,-5.300248786457046890e+01,3.668007913444996104e-01,-2.440868635481616422e-01,-7.119269935439308306e+00
2.208000000000000000e+09,8.742007391410182038e+01,-5.242672992501692875e+01,3.647617140782415945e-01,-2.423478979851805548e-01,-7.171885068930539120e+00
2.209000000000000000e+09,8.737065248753222590e+01,-5.187077047650362971e+01,3.628824581857972853e-01,-2.405737847172134680e-01,-7.222546188219326702e+00
2.210000000000000000e+09,8.734768783996938168e+01,-5.133691769359924706e+01,3.611695774447700180e-01,-2.387778443063187650e-01,-7.270952734050839084e+00
2.211000000000000000e+09,8.735027288377371235e+01,-5.082748695439360631e+01,3.596285285012668642e-01,-2.369742114827127211e-01,-7.316807738286650320e+00
2.212000000000000000e+09,8.737731485064824710e+01,-5.034479260273030832e+01,3.582635861813485145e-01,-2.351777416412900723e-01,-7.359821867126175476e+00
2.213000000000000000e+09,8.742752807075477506e+01,-4.989113866326698599e+01,3.570777671207771564e-01,-2.334039091044415037e-01,-7.399717654743335871e+00
