frequency_hz,z_real_ohm,z_imag_ohm,s11_real,s11_imag,s11_db
2.200000000000000000e+09,1.193746274172163311e+02,-6.837084592348826106e+01,4.923178568297047475e-01,-2.049342225462180977e-01,-5.461087269217379969e+00
2.201000000000000000e+09,1.188358714476728863e+02,-6.777769744207591884e+01,4.899120953552419389e-01,-2.047703688406638523e-01,-5.498359645480195290e+00
2.202000000000000000e+09,1.183164309767617084e+02,-6.718048422032485689e+01,4.875219701816121409e-01,-2.045464129418873012e-01,-5.535919188723857687e+00
2.203000000000000000e+09,1.178177014737423463e+02,-6.658010532088529487e+01,4.851537288807214465e-01,-2.042604484161047451e-01,-5.573690045190769382e+00
2.204000000000000000e+09,1.173410073105157920e+02,-6.597762317005425814e+01,4.828140077488922710e-01,-2.039111814491264274e-01,-5.611585166594988294e+00
2.205000000000000000e+09,1.168875889682474707e+02,-6.537425592933288954e+01,4.805097752235101272e-01,-2.034979779939566635e-01,-5.649506503007758695e+00
2.206000000000000000e+09,1.164585913245615103e+02,-6.477136933324929657e+01,4.782482703902972698e-01,-2.030209057393674021e-01,-5.687345321506930063e+00
2.207000000000000000e+09,1.160550529598952210e+02,-6.417046817545767112e+01,4.760369370596326255e-01,-2.024807704204617254e-01,-5.724982659398100360e+00
2.208000000000000000e+09,1.156778963907968176e+02,-6.357318760163087035e+01,4.738833539356164248e-01,-2.018791460370679691e-01,-5.762289920269701327e+00
2.209000000000000000e+09,1.153279191122466614e+02,-6.298128433966062545e+01,4.717951614425053286e-01,-2.012183985947831599e-01,-5.799129620181150635e+00
2.210000000000000000e+09,1.150057853109096015e+02,-6.239662796619559515e+01,4.697799858095437764e-01,-2.005017030362598318e-01,-5.835356289836752808e+00
2.211000000000000000e+09,1.147120180967581291e+02,-6.182119227448852428e+01,4.678453610465755919e-01,-1.997330530864777076e-01,-5.870817536619888699e+00
2.212000000000000000e+09,1.144469920918539287e+02,-6.125704677272251786e+01,4.659986494689063452e-01,-1.989172637946997613e-01,-5.905355267817014919e+00
2.213000000000000000e+09,1.142109262121861519e+02,-6.070634830522180891e+01,4.642469614504542430e-01,-1.980599666172277451e-01,-5.938807073237280854e+00
2.214000000000000000e+09,1.140038764813065200e+02,-6.017133275182071372e+01,4.625970750990405778e-01,-1.971675969482532542e-01,-5.971007761750813714e+00
2.215000000000000000e+09,1.138257287229637598e+02,-5.965430672374299093e+01,4.610553565565571055e-01,-1.962473740706569547e-01,-6.001791042079948291e+00
2.216000000000000000e+09,1.136761909940167925e+02,-5.915763913808002172e+01,4.596276816296435697e-01,-1.953072735638733681e-01,-6.030991333576806390e+00
2.217000000000000000e+09,1.135547856385983607e+02,-5.868375251780756230e+01,4.583193594533183646e-01,-1.943559922714185317e-01,-6.058445687843887484e+00
